05/11/2020                                                                         Dynamic List Display                                                                                1

Part Number / ESN Code By Supplier

	Vendor Number	Vendor Name	Material No	Material Description	Mat Group	PO Date Range	Plant	PO Net Order Value	PO Net Quantity

	10001331	Siemens Schweiz AG	6FL7820-8AD20	ASE5100-DO (ADDITIONAL 8 DOOR EXPANSION)	MTD	05/07/2020-05/07/2020	B100	           916.28	         4.000
	10001331	Siemens Schweiz AG	GBI:MS3DL	SIVEILLANCE VMS 300 DEVICE LICENSE	MTW	05/07/2020-05/07/2020	B100	        20,093.00	       100.000
	10001331	Siemens Schweiz AG	GBI:MS3DL-1YSSA	SIVEILLANCE VMS 300 DEVICE SOFTWARE SUPP	MTW	05/07/2020-05/07/2020	B100	         1,009.00	       100.000
	10001331	Siemens Schweiz AG	GBI:MS3DL-1YSUR	SIVEILLANCE VMS 300 DEVICE SOFTWARE UPGR	MTW	05/07/2020-05/07/2020	B100	         3,219.00	       100.000
	10001331	Siemens Schweiz AG	P54593-Y195-A300	CCA-M-Reno RenoPlus	MTB	05/01/2020-05/01/2020	B100	         3,390.00	         1.000
	10001331	Siemens Schweiz AG	P54593-Y196-A300	CCA-M-MNS  MNS	MTB	05/01/2020-05/01/2020	B100	         5,650.00	         1.000
	10001331	Siemens Schweiz AG	P54594-P106-A100-Z	Stencil User Base	QZA	05/08/2020-05/08/2020	B100	         1,024.32	         2.000
	10002419	Siemens Industry, Inc.	102691-05/M10	20 LB-IN , SR, 2-10VDC _2PT, MULTI 10	OMB	05/08/2020-05/08/2020	B100	         4,423.10	       110.000
	10002419	Siemens Industry, Inc.	113139601	ACT SR,62 LB-IN,0-10V,PLENUM	OMB	05/04/2020-05/04/2020	B100	        24,110.24	       209.000
	10002419	Siemens Industry, Inc.	113145001	ACT,NSR,88 LB-IN,3PT,PLENUM	OMB	05/05/2020-05/05/2020	B100	           533.40	        10.000
	10002419	Siemens Industry, Inc.	134-1083	T'STAT,HTG,LINE VOLT, CON SP	OEC	05/01/2020-05/01/2020	B100	           262.50	         2.000
	10002419	Siemens Industry, Inc.	134-1084	T'STAT,H/C,LINE VOLT CON/EXP	OEC	05/01/2020-05/07/2020	B100	         2,073.75	        35.000
	10002419	Siemens Industry, Inc.	134-1085	T'STAT,H/C, LINE VOLT,HVY DUTY	OEC	05/08/2020-05/08/2020	B100	           981.63	        13.000
	10002419	Siemens Industry, Inc.	134-117	T'STAT ACC, ALUMINUM GUARD	MRF	05/08/2020-05/08/2020	B100	           457.87	         7.000
	10002419	Siemens Industry, Inc.	134-1460	SW134,PRES EL,1STAGE 3-20 PSI	MRF	05/06/2020-05/06/2020	B100	            33.77	         1.000
	10002419	Siemens Industry, Inc.	134-1504	T'STAT, LOW TEMP,15/55,MANUAL	MRF	05/01/2020-05/08/2020	B100	        13,913.34	       157.000
	10002419	Siemens Industry, Inc.	134-1510	LOW TEMP DET STATAUTO RESET	MRF	05/01/2020-05/08/2020	B100	         5,018.87	        79.000
	10002419	Siemens Industry, Inc.	134-1511	LOW TEMP DET STAT MNL RESET	MRF	05/01/2020-05/09/2020	B100	         3,176.50	        50.000
	10002419	Siemens Industry, Inc.	134-1700	T'STAT, PNEU LOW TEMP,15/55	MRF	05/05/2020-05/05/2020	B100	           447.12	         4.000
	10002419	Siemens Industry, Inc.	141-0518	SWITCH,AIR FLOW,1.0/12 WG	MRF	05/04/2020-05/08/2020	B100	         4,063.36	       112.000
